date,category,dish_name,quantity_sold,unit_cost,selling_price,total_cost,total_revenue,waste_qty,waste_cost,day_of_week
2024-04-04,Contorni,Patate al Forno,10,1.2,5,12,50,0.5,0.6,Giovedì
2024-04-04,Contorni,Verdure Grigliate,11,2.5,7,27.5,77,0.9,2.25,Giovedì
2024-04-04,Dolci,Tiramisù,9,2.8,8,25.2,72,0.3,0.84,Giovedì
2024-04-04,Dolci,Panna Cotta,12,2.2,7,26.4,84,0.6,1.32,Giovedì
2024-04-04,Dolci,Cheesecake,14,3.5,9,49,126,0.9,3.15,Giovedì
2024-04-04,Dolci,Profiterole,11,3.2,8,35.2,88,0.6,1.92,Giovedì
2024-04-05,Antipasti,Bruschetta Pomodoro,12,2.5,8,30,96,0.6,1.5,Venerdì
2024-04-05,Antipasti,Carpaccio di Manzo,17,5.2,16,88.4,272,1.5,7.8,Venerdì
2024-04-05,Antipasti,Caprese,14,3.8,12,53.2,168,0.8,3.04,Venerdì
2024-04-05,Antipasti,Prosciutto e Melone,10,4.5,14,45,140,0.6,2.7,Venerdì
2024-04-05,Primi,Spaghetti Carbonara,32,3.2,14,102.4,448,1.2,3.84,Venerdì
2024-04-05,Primi,Risotto Funghi,24,4.8,16,115.2,384,1.2,5.76,Venerdì
2024-04-05,Primi,Penne Arrabbiata,22,2.8,12,61.6,264,0.7,1.96,Venerdì
2024-04-05,Primi,Tagliatelle Bolognese,30,4.2,15,126,450,1.3,5.46,Venerdì
2024-04-05,Primi,Gnocchi 4 Formaggi,31,3.9,14,120.9,434,1,3.9,Venerdì
2024-04-05,Secondi,Tagliata di Manzo,15,8.5,28,127.5,420,1.4,11.9,Venerdì
2024-04-05,Secondi,Filetto di Branzino,23,7.2,26,165.6,598,3.2,23.04,Venerdì
2024-04-05,Secondi,Pollo alla Griglia,24,4.8,18,115.2,432,1.6,7.68,Venerdì
2024-04-05,Secondi,Costata di Maiale,14,6.2,22,86.8,308,1.1,6.82,Venerdì
2024-04-05,Contorni,Insalata Mista,8,1.8,6,14.4,48,0.9,1.62,Venerdì
2024-04-05,Contorni,Patate al Forno,9,1.2,5,10.8,45,0.5,0.6,Venerdì
2024-04-05,Contorni,Verdure Grigliate,12,2.5,7,30,84,1,2.5,Venerdì
2024-04-05,Dolci,Tiramisù,11,2.8,8,30.8,88,0.3,0.84,Venerdì
2024-04-05,Dolci,Panna Cotta,14,2.2,7,30.8,98,0.6,1.32,Venerdì
2024-04-05,Dolci,Cheesecake,15,3.5,9,52.5,135,0.8,2.8,Venerdì
2024-04-05,Dolci,Profiterole,14,3.2,8,44.8,112,0.9,2.88,Venerdì
2024-04-06,Antipasti,Bruschetta Pomodoro,17,2.5,8,42.5,136,0.7,1.75,Sabato
2024-04-06,Antipasti,Carpaccio di Manzo,24,5.2,16,124.8,384,1.5,7.8,Sabato
2024-04-06,Antipasti,Caprese,24,3.8,12,91.2,288,1.6,6.08,Sabato
2024-04-06,Antipasti,Prosciutto e Melone,17,4.5,14,76.5,238,1.1,4.95,Sabato
2024-04-06,Primi,Spaghetti Carbonara,38,3.2,14,121.6,532,1.7,5.44,Sabato
2024-04-06,Primi,Risotto Funghi,44,4.8,16,211.2,704,3,14.4,Sabato
2024-04-06,Primi,Penne Arrabbiata,35,2.8,12,98,420,0.8,2.24,Sabato
2024-04-06,Primi,Tagliatelle Bolognese,42,4.2,15,176.4,630,2.2,9.24,Sabato
2024-04-06,Primi,Gnocchi 4 Formaggi,44,3.9,14,171.6,616,1.6,6.24,Sabato
2024-04-06,Secondi,Tagliata di Manzo,22,8.5,28,187,616,2.6,22.1,Sabato
2024-04-06,Secondi,Filetto di Branzino,20,7.2,26,144,520,2.7,19.44,Sabato
2024-04-06,Secondi,Pollo alla Griglia,24,4.8,18,115.2,432,1.6,7.68,Sabato
2024-04-06,Secondi,Costata di Maiale,35,6.2,22,217,770,2.6,16.12,Sabato
2024-04-06,Contorni,Insalata Mista,17,1.8,6,30.6,102,1.8,3.24,Sabato
2024-04-06,Contorni,Patate al Forno,15,1.2,5,18,75,0.7,0.84,Sabato
2024-04-06,Contorni,Verdure Grigliate,13,2.5,7,32.5,91,1.4,3.5,Sabato
2024-04-06,Dolci,Tiramisù,16,2.8,8,44.8,128,0.6,1.68,Sabato
2024-04-06,Dolci,Panna Cotta,21,2.2,7,46.2,147,0.9,1.98,Sabato
2024-04-06,Dolci,Cheesecake,16,3.5,9,56,144,0.8,2.8,Sabato
2024-04-06,Dolci,Profiterole,15,3.2,8,48,120,1.1,3.52,Sabato
2024-04-07,Antipasti,Bruschetta Pomodoro,19,2.5,8,47.5,152,1,2.5,Domenica
2024-04-07,Antipasti,Carpaccio di Manzo,15,5.2,16,78,240,1.3,6.76,Domenica
2024-04-07,Antipasti,Caprese,20,3.8,12,76,240,1.4,5.32,Domenica
2024-04-07,Antipasti,Prosciutto e Melone,23,4.5,14,103.5,322,1.4,6.3,Domenica
2024-04-07,Primi,Spaghetti Carbonara,37,3.2,14,118.4,518,1.4,4.48,Domenica
2024-04-07,Primi,Risotto Funghi,45,4.8,16,216,720,2.6,12.48,Domenica
2024-04-07,Primi,Penne Arrabbiata,45,2.8,12,126,540,1.3,3.64,Domenica
2024-04-07,Primi,Tagliatelle Bolognese,37,4.2,15,155.4,555,1.7,7.14,Domenica
2024-04-07,Primi,Gnocchi 4 Formaggi,38,3.9,14,148.2,532,1.2,4.68,Domenica
2024-04-07,Secondi,Tagliata di Manzo,21,8.5,28,178.5,588,1.8,15.3,Domenica
2024-04-07,Secondi,Filetto di Branzino,32,7.2,26,230.4,832,3.3,23.76,Domenica
2024-04-07,Secondi,Pollo alla Griglia,27,4.8,18,129.6,486,1.9,9.12,Domenica
2024-04-07,Secondi,Costata di Maiale,22,6.2,22,136.4,484,1.7,10.54,Domenica
2024-04-07,Contorni,Insalata Mista,13,1.8,6,23.4,78,1.6,2.88,Domenica
2024-04-07,Contorni,Patate al Forno,11,1.2,5,13.2,55,0.5,0.6,Domenica
2024-04-07,Contorni,Verdure Grigliate,12,2.5,7,30,84,1.1,2.75,Domenica
2024-04-07,Dolci,Tiramisù,20,2.8,8,56,160,0.9,2.52,Domenica
2024-04-07,Dolci,Panna Cotta,18,2.2,7,39.6,126,0.8,1.76,Domenica
2024-04-07,Dolci,Cheesecake,17,3.5,9,59.5,153,1,3.5,Domenica
2024-04-07,Dolci,Profiterole,21,3.2,8,67.2,168,1.5,4.8,Domenica
2024-04-08,Antipasti,Bruschetta Pomodoro,14,2.5,8,35,112,0.8,2,Lunedì
2024-04-08,Antipasti,Carpaccio di Manzo,11,5.2,16,57.2,176,1,5.2,Lunedì
2024-04-08,Antipasti,Caprese,14,3.8,12,53.2,168,0.8,3.04,Lunedì
2024-04-08,Antipasti,Prosciutto e Melone,15,4.5,14,67.5,210,1,4.5,Lunedì
2024-04-08,Primi,Spaghetti Carbonara,18,3.2,14,57.6,252,0.6,1.92,Lunedì
2024-04-08,Primi,Risotto Funghi,18,4.8,16,86.4,288,0.8,3.84,Lunedì
2024-04-08,Primi,Penne Arrabbiata,31,2.8,12,86.8,372,1,2.8,Lunedì
2024-04-08,Primi,Tagliatelle Bolognese,21,4.2,15,88.2,315,1.1,4.62,Lunedì
2024-04-08,Primi,Gnocchi 4 Formaggi,32,3.9,14,124.8,448,1.2,4.68,Lunedì
2024-04-08,Secondi,Tagliata di Manzo,22,8.5,28,187,616,2.1,17.85,Lunedì
2024-04-08,Secondi,Filetto di Branzino,14,7.2,26,100.8,364,1.5,10.8,Lunedì
2024-04-08,Secondi,Pollo alla Griglia,14,4.8,18,67.2,252,0.9,4.32,Lunedì
2024-04-08,Secondi,Costata di Maiale,17,6.2,22,105.4,374,1.7,10.54,Lunedì
2024-04-08,Contorni,Insalata Mista,10,1.8,6,18,60,1,1.8,Lunedì
2024-04-08,Contorni,Patate al Forno,12,1.2,5,14.4,60,0.5,0.6,Lunedì
2024-04-08,Contorni,Verdure Grigliate,7,2.5,7,17.5,49,0.7,1.75,Lunedì
2024-04-08,Dolci,Tiramisù,8,2.8,8,22.4,64,0.3,0.84,Lunedì
2024-04-08,Dolci,Panna Cotta,11,2.2,7,24.2,77,0.5,1.1,Lunedì
2024-04-08,Dolci,Cheesecake,10,3.5,9,35,90,0.6,2.1,Lunedì
2024-04-08,Dolci,Profiterole,8,3.2,8,25.6,64,0.5,1.6,Lunedì
2024-04-09,Antipasti,Bruschetta Pomodoro,16,2.5,8,40,128,0.9,2.25,Martedì
2024-04-09,Antipasti,Carpaccio di Manzo,11,5.2,16,57.2,176,0.8,4.16,Martedì
2024-04-09,Antipasti,Caprese,12,3.8,12,45.6,144,0.6,2.28,Martedì
2024-04-09,Antipasti,Prosciutto e Melone,14,4.5,14,63,196,1.1,4.95,Martedì
2024-04-09,Primi,Spaghetti Carbonara,26,3.2,14,83.2,364,1,3.2,Martedì
2024-04-09,Primi,Risotto Funghi,26,4.8,16,124.8,416,1.7,8.16,Martedì
2024-04-09,Primi,Penne Arrabbiata,26,2.8,12,72.8,312,0.8,2.24,Martedì
2024-04-09,Primi,Tagliatelle Bolognese,20,4.2,15,84,300,1,4.2,Martedì
2024-04-09,Primi,Gnocchi 4 Formaggi,27,3.9,14,105.3,378,0.9,3.51,Martedì
2024-04-09,Secondi,Tagliata di Manzo,18,8.5,28,153,504,1.6,13.6,Martedì
2024-04-09,Secondi,Filetto di Branzino,20,7.2,26,144,520,2.1,15.12,Martedì
2024-04-09,Secondi,Pollo alla Griglia,19,4.8,18,91.2,342,1.6,7.68,Martedì
2024-04-09,Secondi,Costata di Maiale,17,6.2,22,105.4,374,1.4,8.68,Martedì
2024-04-09,Contorni,Insalata Mista,12,1.8,6,21.6,72,1.4,2.52,Martedì
2024-04-09,Contorni,Patate al Forno,9,1.2,5,10.8,45,0.6,0.72,Martedì
2024-04-09,Contorni,Verdure Grigliate,11,2.5,7,27.5,77,1,2.5,Martedì
2024-04-09,Dolci,Tiramisù,14,2.8,8,39.2,112,0.5,1.4,Martedì
2024-04-09,Dolci,Panna Cotta,9,2.2,7,19.8,63,0.5,1.1,Martedì
2024-04-09,Dolci,Cheesecake,8,3.5,9,28,72,0.4,1.4,Martedì
2024-04-09,Dolci,Profiterole,13,3.2,8,41.6,104,0.7,2.24,Martedì
2024-04-10,Antipasti,Bruschetta Pomodoro,14,2.5,8,35,112,0.7,1.75,Mercoledì
2024-04-10,Antipasti,Carpaccio di Manzo,15,5.2,16,78,240,1,5.2,Mercoledì
2024-04-10,Antipasti,Caprese,13,3.8,12,49.4,156,0.8,3.04,Mercoledì
2024-04-10,Antipasti,Prosciutto e Melone,17,4.5,14,76.5,238,1,4.5,Mercoledì
2024-04-10,Primi,Spaghetti Carbonara,23,3.2,14,73.6,322,0.8,2.56,Mercoledì
2024-04-10,Primi,Risotto Funghi,29,4.8,16,139.2,464,1.5,7.2,Mercoledì
2024-04-10,Primi,Penne Arrabbiata,21,2.8,12,58.8,252,0.5,1.4,Mercoledì
2024-04-10,Primi,Tagliatelle Bolognese,29,4.2,15,121.8,435,1.1,4.62,Mercoledì
2024-04-10,Primi,Gnocchi 4 Formaggi,30,3.9,14,117,420,1.1,4.29,Mercoledì
2024-04-10,Secondi,Tagliata di Manzo,14,8.5,28,119,392,1.5,12.75,Mercoledì
2024-04-10,Secondi,Filetto di Branzino,15,7.2,26,108,390,1.9,13.68,Mercoledì
2024-04-10,Secondi,Pollo alla Griglia,14,4.8,18,67.2,252,1.3,6.24,Mercoledì
2024-04-10,Secondi,Costata di Maiale,22,6.2,22,136.4,484,1.7,10.54,Mercoledì
2024-04-10,Contorni,Insalata Mista,11,1.8,6,19.8,66,1.5,2.7,Mercoledì
2024-04-10,Contorni,Patate al Forno,12,1.2,5,14.4,60,0.6,0.72,Mercoledì
2024-04-10,Contorni,Verdure Grigliate,8,2.5,7,20,56,0.6,1.5,Mercoledì
2024-04-10,Dolci,Tiramisù,12,2.8,8,33.6,96,0.5,1.4,Mercoledì
2024-04-10,Dolci,Panna Cotta,10,2.2,7,22,70,0.5,1.1,Mercoledì
2024-04-10,Dolci,Cheesecake,14,3.5,9,49,126,0.8,2.8,Mercoledì
2024-04-10,Dolci,Profiterole,10,3.2,8,32,80,0.7,2.24,Mercoledì
2024-04-11,Antipasti,Bruschetta Pomodoro,14,2.5,8,35,112,0.6,1.5,Giovedì
2024-04-11,Antipasti,Carpaccio di Manzo,13,5.2,16,67.6,208,1.1,5.72,Giovedì
2024-04-11,Antipasti,Caprese,15,3.8,12,57,180,0.9,3.42,Giovedì
2024-04-11,Antipasti,Prosciutto e Melone,18,4.5,14,81,252,1.4,6.3,Giovedì
2024-04-11,Primi,Spaghetti Carbonara,29,3.2,14,92.8,406,1.2,3.84,Giovedì
2024-04-11,Primi,Risotto Funghi,19,4.8,16,91.2,304,0.9,4.32,Giovedì
2024-04-11,Primi,Penne Arrabbiata,27,2.8,12,75.6,324,0.7,1.96,Giovedì
2024-04-11,Primi,Tagliatelle Bolognese,28,4.2,15,117.6,420,1.5,6.3,Giovedì
2024-04-11,Primi,Gnocchi 4 Formaggi,18,3.9,14,70.2,252,0.6,2.34,Giovedì
2024-04-11,Secondi,Tagliata di Manzo,24,8.5,28,204,672,2,17,Giovedì
2024-04-11,Secondi,Filetto di Branzino,23,7.2,26,165.6,598,2.8,20.16,Giovedì
2024-04-11,Secondi,Pollo alla Griglia,19,4.8,18,91.2,342,1.4,6.72,Giovedì
2024-04-11,Secondi,Costata di Maiale,19,6.2,22,117.8,418,1.4,8.68,Giovedì
2024-04-11,Contorni,Insalata Mista,11,1.8,6,19.8,66,1.4,2.52,Giovedì
2024-04-11,Contorni,Patate al Forno,9,1.2,5,10.8,45,0.5,0.6,Giovedì
2024-04-11,Contorni,Verdure Grigliate,11,2.5,7,27.5,77,1.2,3,Giovedì
2024-04-11,Dolci,Tiramisù,14,2.8,8,39.2,112,0.5,1.4,Giovedì
2024-04-11,Dolci,Panna Cotta,13,2.2,7,28.6,91,0.5,1.1,Giovedì
2024-04-11,Dolci,Cheesecake,11,3.5,9,38.5,99,0.7,2.45,Giovedì
2024-04-11,Dolci,Profiterole,8,3.2,8,25.6,64,0.5,1.6,Giovedì
2024-04-12,Antipasti,Bruschetta Pomodoro,17,2.5,8,42.5,136,0.9,2.25,Venerdì
2024-04-12,Antipasti,Carpaccio di Manzo,11,5.2,16,57.2,176,0.8,4.16,Venerdì
2024-04-12,Antipasti,Caprese,13,3.8,12,49.4,156,0.9,3.42,Venerdì
2024-04-12,Antipasti,Prosciutto e Melone,17,4.5,14,76.5,238,1.1,4.95,Venerdì
2024-04-12,Primi,Spaghetti Carbonara,18,3.2,14,57.6,252,0.6,1.92,Venerdì
2024-04-12,Primi,Risotto Funghi,18,4.8,16,86.4,288,1.1,5.28,Venerdì
2024-04-12,Primi,Penne Arrabbiata,27,2.8,12,75.6,324,0.8,2.24,Venerdì
2024-04-12,Primi,Tagliatelle Bolognese,25,4.2,15,105,375,1.3,5.46,Venerdì
2024-04-12,Primi,Gnocchi 4 Formaggi,26,3.9,14,101.4,364,1.1,4.29,Venerdì
2024-04-12,Secondi,Tagliata di Manzo,22,8.5,28,187,616,2.5,21.25,Venerdì
2024-04-12,Secondi,Filetto di Branzino,23,7.2,26,165.6,598,3.1,22.32,Venerdì
2024-04-12,Secondi,Pollo alla Griglia,23,4.8,18,110.4,414,1.6,7.68,Venerdì
2024-04-12,Secondi,Costata di Maiale,25,6.2,22,155,550,2,12.4,Venerdì
2024-04-12,Contorni,Insalata Mista,7,1.8,6,12.6,42,0.9,1.62,Venerdì
2024-04-12,Contorni,Patate al Forno,12,1.2,5,14.4,60,0.6,0.72,Venerdì
2024-04-12,Contorni,Verdure Grigliate,8,2.5,7,20,56,0.8,2,Venerdì
2024-04-12,Dolci,Tiramisù,15,2.8,8,42,120,0.7,1.96,Venerdì
2024-04-12,Dolci,Panna Cotta,13,2.2,7,28.6,91,0.5,1.1,Venerdì
2024-04-12,Dolci,Cheesecake,15,3.5,9,52.5,135,1,3.5,Venerdì
2024-04-12,Dolci,Profiterole,13,3.2,8,41.6,104,1,3.2,Venerdì
2024-04-13,Antipasti,Bruschetta Pomodoro,26,2.5,8,65,208,1.2,3,Sabato
2024-04-13,Antipasti,Carpaccio di Manzo,19,5.2,16,98.8,304,1.6,8.32,Sabato
2024-04-13,Antipasti,Caprese,26,3.8,12,98.8,312,1.3,4.94,Sabato
2024-04-13,Antipasti,Prosciutto e Melone,16,4.5,14,72,224,1.2,5.4,Sabato
2024-04-13,Primi,Spaghetti Carbonara,41,3.2,14,131.2,574,1.9,6.08,Sabato
2024-04-13,Primi,Risotto Funghi,28,4.8,16,134.4,448,1.8,8.64,Sabato
2024-04-13,Primi,Penne Arrabbiata,41,2.8,12,114.8,492,1.4,3.92,Sabato
2024-04-13,Primi,Tagliatelle Bolognese,35,4.2,15,147,525,1.9,7.98,Sabato
2024-04-13,Primi,Gnocchi 4 Formaggi,39,3.9,14,152.1,546,1.4,5.46,Sabato
2024-04-13,Secondi,Tagliata di Manzo,24,8.5,28,204,672,2.6,22.1,Sabato
2024-04-13,Secondi,Filetto di Branzino,21,7.2,26,151.2,546,2.5,18,Sabato
2024-04-13,Secondi,Pollo alla Griglia,34,4.8,18,163.2,612,2.8,13.44,Sabato
2024-04-13,Secondi,Costata di Maiale,26,6.2,22,161.2,572,2.7,16.74,Sabato
2024-04-13,Contorni,Insalata Mista,12,1.8,6,21.6,72,1.2,2.16,Sabato
2024-04-13,Contorni,Patate al Forno,11,1.2,5,13.2,55,0.5,0.6,Sabato
2024-04-13,Contorni,Verdure Grigliate,15,2.5,7,37.5,105,1.5,3.75,Sabato
2024-04-13,Dolci,Tiramisù,14,2.8,8,39.2,112,0.4,1.12,Sabato
2024-04-13,Dolci,Panna Cotta,17,2.2,7,37.4,119,0.7,1.54,Sabato
2024-04-13,Dolci,Cheesecake,12,3.5,9,42,108,0.8,2.8,Sabato
2024-04-13,Dolci,Profiterole,15,3.2,8,48,120,0.9,2.88,Sabato
2024-04-14,Antipasti,Bruschetta Pomodoro,27,2.5,8,67.5,216,1.4,3.5,Domenica
2024-04-14,Antipasti,Carpaccio di Manzo,26,5.2,16,135.2,416,2.1,10.92,Domenica
2024-04-14,Antipasti,Caprese,19,3.8,12,72.2,228,1.2,4.56,Domenica
2024-04-14,Antipasti,Prosciutto e Melone,25,4.5,14,112.5,350,1.8,8.1,Domenica
2024-04-14,Primi,Spaghetti Carbonara,25,3.2,14,80,350,1.1,3.52,Domenica
2024-04-14,Primi,Risotto Funghi,31,4.8,16,148.8,496,1.6,7.68,Domenica
2024-04-14,Primi,Penne Arrabbiata,42,2.8,12,117.6,504,1.5,4.2,Domenica
2024-04-14,Primi,Tagliatelle Bolognese,42,4.2,15,176.4,630,2.1,8.82,Domenica
2024-04-14,Primi,Gnocchi 4 Formaggi,41,3.9,14,159.9,574,1.5,5.85,Domenica
2024-04-14,Secondi,Tagliata di Manzo,21,8.5,28,178.5,588,2.1,17.85,Domenica
2024-04-14,Secondi,Filetto di Branzino,20,7.2,26,144,520,2.6,18.72,Domenica
2024-04-14,Secondi,Pollo alla Griglia,25,4.8,18,120,450,2.2,10.56,Domenica
2024-04-14,Secondi,Costata di Maiale,22,6.2,22,136.4,484,2.1,13.02,Domenica
2024-04-14,Contorni,Insalata Mista,14,1.8,6,25.2,84,1.7,3.06,Domenica
2024-04-14,Contorni,Patate al Forno,12,1.2,5,14.4,60,0.8,0.96,Domenica
2024-04-14,Contorni,Verdure Grigliate,16,2.5,7,40,112,1.8,4.5,Domenica
2024-04-14,Dolci,Tiramisù,19,2.8,8,53.2,152,0.7,1.96,Domenica
2024-04-14,Dolci,Panna Cotta,14,2.2,7,30.8,98,0.6,1.32,Domenica
2024-04-14,Dolci,Cheesecake,16,3.5,9,56,144,0.8,2.8,Domenica
2024-04-14,Dolci,Profiterole,17,3.2,8,54.4,136,1.1,3.52,Domenica
2024-04-15,Antipasti,Bruschetta Pomodoro,18,2.5,8,45,144,0.9,2.25,Lunedì
2024-04-15,Antipasti,Carpaccio di Manzo,13,5.2,16,67.6,208,1,5.2,Lunedì
2024-04-15,Antipasti,Caprese,19,3.8,12,72.2,228,1,3.8,Lunedì
2024-04-15,Antipasti,Prosciutto e Melone,15,4.5,14,67.5,210,1.1,4.95,Lunedì
2024-04-15,Primi,Spaghetti Carbonara,18,3.2,14,57.6,252,0.7,2.24,Lunedì
